Time 	 Hydrogen 	 H 	 H+ 	 H- 	 H2 	 H2+ 
3.4335e+14 	 1000 	 0.0769163 	 4.23391e-05 	 1.41033e-12 	 0.923041 	 1.84769e-10 
3.465e+14 	 1000 	 0.0767346 	 4.22971e-05 	 1.40888e-12 	 0.923223 	 1.84792e-10 
3.4965e+14 	 1000 	 0.0765585 	 4.22564e-05 	 1.40748e-12 	 0.923399 	 1.84815e-10 
3.528e+14 	 1000 	 0.0763874 	 4.22168e-05 	 1.40611e-12 	 0.92357 	 1.84836e-10 
3.5595e+14 	 1000 	 0.0762216 	 4.21783e-05 	 1.40479e-12 	 0.923736 	 1.84858e-10 
3.591e+14 	 1000 	 0.0760609 	 4.2141e-05 	 1.4035e-12 	 0.923897 	 1.84878e-10 
3.6225e+14 	 1000 	 0.0759049 	 4.21048e-05 	 1.40225e-12 	 0.924053 	 1.84898e-10 
3.654e+14 	 1000 	 0.0757534 	 4.20696e-05 	 1.40104e-12 	 0.924204 	 1.84918e-10 
3.6855e+14 	 1000 	 0.0756067 	 4.20355e-05 	 1.39986e-12 	 0.924351 	 1.84936e-10 
3.717e+14 	 1000 	 0.0754641 	 4.20023e-05 	 1.39872e-12 	 0.924494 	 1.84955e-10 
3.7485e+14 	 1000 	 0.0753257 	 4.197e-05 	 1.3976e-12 	 0.924632 	 1.84972e-10 
3.78e+14 	 1000 	 0.0751931 	 4.19391e-05 	 1.39654e-12 	 0.924765 	 1.84989e-10 
3.8115e+14 	 1000 	 0.075063 	 4.19087e-05 	 1.39549e-12 	 0.924895 	 1.85006e-10 
3.843e+14 	 1000 	 0.0749365 	 4.18792e-05 	 1.39447e-12 	 0.925022 	 1.85022e-10 
3.8745e+14 	 1000 	 0.0748139 	 4.18505e-05 	 1.39348e-12 	 0.925144 	 1.85038e-10 
3.906e+14 	 1000 	 0.0746951 	 4.18227e-05 	 1.39252e-12 	 0.925263 	 1.85053e-10 
3.9375e+14 	 1000 	 0.0745794 	 4.17956e-05 	 1.39159e-12 	 0.925379 	 1.85068e-10 
3.969e+14 	 1000 	 0.0744672 	 4.17693e-05 	 1.39068e-12 	 0.925491 	 1.85082e-10 
4.0005e+14 	 1000 	 0.0743581 	 4.17437e-05 	 1.3898e-12 	 0.9256 	 1.85096e-10 
4.032e+14 	 1000 	 0.0742523 	 4.17189e-05 	 1.38895e-12 	 0.925706 	 1.8511e-10 
4.0635e+14 	 1000 	 0.0741495 	 4.16948e-05 	 1.38811e-12 	 0.925809 	 1.85123e-10 
4.095e+14 	 1000 	 0.074051 	 4.16716e-05 	 1.38732e-12 	 0.925907 	 1.85135e-10 
4.1265e+14 	 1000 	 0.0739542 	 4.16489e-05 	 1.38653e-12 	 0.926004 	 1.85148e-10 
4.158e+14 	 1000 	 0.0738613 	 4.1627e-05 	 1.38578e-12 	 0.926097 	 1.8516e-10 
4.1895e+14 	 1000 	 0.0737702 	 4.16056e-05 	 1.38504e-12 	 0.926188 	 1.85171e-10 
4.221e+14 	 1000 	 0.0736817 	 4.15847e-05 	 1.38432e-12 	 0.926277 	 1.85183e-10 
4.2525e+14 	 1000 	 0.0735957 	 4.15645e-05 	 1.38362e-12 	 0.926363 	 1.85194e-10 
4.284e+14 	 1000 	 0.0735123 	 4.15448e-05 	 1.38294e-12 	 0.926446 	 1.85204e-10 
4.3155e+14 	 1000 	 0.0734313 	 4.15257e-05 	 1.38228e-12 	 0.926527 	 1.85215e-10 
4.347e+14 	 1000 	 0.0733524 	 4.15071e-05 	 1.38164e-12 	 0.926606 	 1.85225e-10 
4.3785e+14 	 1000 	 0.0732758 	 4.1489e-05 	 1.38102e-12 	 0.926683 	 1.85235e-10 
4.41e+14 	 1000 	 0.0732016 	 4.14715e-05 	 1.38041e-12 	 0.926757 	 1.85244e-10 
4.4415e+14 	 1000 	 0.0731293 	 4.14544e-05 	 1.37982e-12 	 0.926829 	 1.85253e-10 
4.473e+14 	 1000 	 0.0730591 	 4.14378e-05 	 1.37925e-12 	 0.926899 	 1.85262e-10 
4.5045e+14 	 1000 	 0.0729911 	 4.14217e-05 	 1.37869e-12 	 0.926968 	 1.85271e-10 
4.536e+14 	 1000 	 0.0729251 	 4.14061e-05 	 1.37816e-12 	 0.927034 	 1.85279e-10 
4.5675e+14 	 1000 	 0.0728608 	 4.13909e-05 	 1.37763e-12 	 0.927098 	 1.85288e-10 
4.599e+14 	 1000 	 0.0727984 	 4.13761e-05 	 1.37712e-12 	 0.92716 	 1.85296e-10 
4.6305e+14 	 1000 	 0.0727379 	 4.13618e-05 	 1.37663e-12 	 0.927221 	 1.85303e-10 
4.662e+14 	 1000 	 0.0726789 	 4.13478e-05 	 1.37614e-12 	 0.92728 	 1.85311e-10 
4.6935e+14 	 1000 	 0.0726218 	 4.13343e-05 	 1.37568e-12 	 0.927337 	 1.85318e-10 
4.725e+14 	 1000 	 0.0725663 	 4.13211e-05 	 1.37522e-12 	 0.927392 	 1.85325e-10 
4.7565e+14 	 1000 	 0.0725123 	 4.13083e-05 	 1.37478e-12 	 0.927446 	 1.85332e-10 
4.788e+14 	 1000 	 0.0724599 	 4.12959e-05 	 1.37435e-12 	 0.927499 	 1.85339e-10 
4.8195e+14 	 1000 	 0.072409 	 4.12838e-05 	 1.37394e-12 	 0.92755 	 1.85345e-10 
4.851e+14 	 1000 	 0.0723595 	 4.1272e-05 	 1.37353e-12 	 0.927599 	 1.85352e-10 
4.8825e+14 	 1000 	 0.0723116 	 4.12607e-05 	 1.37314e-12 	 0.927647 	 1.85358e-10 
4.914e+14 	 1000 	 0.0722648 	 4.12496e-05 	 1.37275e-12 	 0.927694 	 1.85364e-10 
4.9455e+14 	 1000 	 0.0722194 	 4.12388e-05 	 1.37238e-12 	 0.927739 	 1.8537e-10 
4.977e+14 	 1000 	 0.0721753 	 4.12283e-05 	 1.37202e-12 	 0.927783 	 1.85375e-10 
5.0085e+14 	 1000 	 0.0721325 	 4.12181e-05 	 1.37167e-12 	 0.927826 	 1.85381e-10 
5.04e+14 	 1000 	 0.0720909 	 4.12082e-05 	 1.37133e-12 	 0.927868 	 1.85386e-10 
5.0715e+14 	 1000 	 0.0720504 	 4.11986e-05 	 1.371e-12 	 0.927908 	 1.85391e-10 
5.103e+14 	 1000 	 0.0720111 	 4.11892e-05 	 1.37067e-12 	 0.927948 	 1.85396e-10 
5.1345e+14 	 1000 	 0.071973 	 4.11801e-05 	 1.37036e-12 	 0.927986 	 1.85401e-10 
5.166e+14 	 1000 	 0.071936 	 4.11713e-05 	 1.37006e-12 	 0.928023 	 1.85406e-10 
5.1975e+14 	 1000 	 0.0718999 	 4.11627e-05 	 1.36976e-12 	 0.928059 	 1.8541e-10 
5.229e+14 	 1000 	 0.0718649 	 4.11544e-05 	 1.36947e-12 	 0.928094 	 1.85415e-10 
5.2605e+14 	 1000 	 0.0718309 	 4.11463e-05 	 1.36919e-12 	 0.928128 	 1.85419e-10 
